Carowner_id,State,Year,Total_cars
1,ACT,2016,330682
2,NSW,2016,6340527
3,NT,2016,196008
4,QLD,2016,4817862
5,SA,2016,1728983
6,TAS,2016,579147
7,VIC,2016,5504281
8,WA,2016,2751604
9,ACT,2017,338234
10,NSW,2017,6503094
11,NT,2017,193276
12,QLD,2017,4933120
13,SA,2017,1755031
14,TAS,2017,594404
15,VIC,2017,5645822
16,WA,2017,2770065
17,ACT,2018,345367
18,NSW,2018,6631965
19,NT,2018,201583
20,QLD,2018,5051611
21,SA,2018,1784329
22,TAS,2018,608881
23,VIC,2018,5800031
24,WA,2018,2791470
25,ACT,2019,351797
26,NSW,2019,6724862
27,NT,2019,200383
28,QLD,2019,5163731
29,SA,2019,1809611
30,TAS,2019,624781
31,VIC,2019,5938446
32,WA,2019,2811922
33,ACT,2020,353099
34,NSW,2020,6815865
35,NT,2020,199175
36,QLD,2020,5254127
37,SA,2020,1831532
38,TAS,2020,641545
39,VIC,2020,6050890
40,WA,2020,2856508
41,ACT,2021,360487
42,NSW,2021,6964776
43,NT,2021,202021
44,QLD,2021,5390832
45,SA,2021,1874671
46,TAS,2021,657420
47,VIC,2021,6118479
48,WA,2021,2906438
