Carowner_id,State,Year,Total_cars
1,ACT,2016,240946
2,NSW,2016,4134787
3,NT,2016,95197
4,QLD,2016,2715054
5,SA,2016,1061779
6,TAS,2016,316902
7,VIC,2016,3666502
8,WA,2016,1583936
9,ACT,2017,247173
10,NSW,2017,4217402
11,NT,2017,94141
12,QLD,2017,2777112
13,SA,2017,1075078
14,TAS,2017,324175
15,VIC,2017,3750481
16,WA,2017,1593003
17,ACT,2018,252772
18,NSW,2018,4277482
19,NT,2018,100116
20,QLD,2018,2837479
21,SA,2018,1090573
22,TAS,2018,330910
23,VIC,2018,3838132
24,WA,2018,1602964
25,ACT,2019,257947
26,NSW,2019,4308795
27,NT,2019,99689
28,QLD,2019,2878801
29,SA,2019,1101138
30,TAS,2019,338232
31,VIC,2019,3907573
32,WA,2019,1611975
33,ACT,2020,259702
34,NSW,2020,4348432
35,NT,2020,99309
36,QLD,2020,2919857
37,SA,2020,1110425
38,TAS,2020,345927
39,VIC,2020,3963820
40,WA,2020,1631782
41,ACT,2021,264751
42,NSW,2021,4404670
43,NT,2021,100677
44,QLD,2021,2975229
45,SA,2021,1131196
46,TAS,2021,349957
47,VIC,2021,3970846
48,WA,2021,1653344
