population_id,region_name,region_code,year,population
1,Melbourne CBD - East,206041503,2001,3997
2,Melbourne CBD - North,206041504,2001,1657
3,Melbourne CBD - West,206041505,2001,1990
4,Melbourne CBD - East,206041503,2002,4794
5,Melbourne CBD - North,206041504,2002,2282
6,Melbourne CBD - West,206041505,2002,2516
7,Melbourne CBD - East,206041503,2003,5457
8,Melbourne CBD - North,206041504,2003,2969
9,Melbourne CBD - West,206041505,2003,2974
10,Melbourne CBD - East,206041503,2004,6015
11,Melbourne CBD - North,206041504,2004,3389
12,Melbourne CBD - West,206041505,2004,3323
13,Melbourne CBD - East,206041503,2005,6422
14,Melbourne CBD - North,206041504,2005,3930
15,Melbourne CBD - West,206041505,2005,3940
16,Melbourne CBD - East,206041503,2006,6620
17,Melbourne CBD - North,206041504,2006,4008
18,Melbourne CBD - West,206041505,2006,4621
19,Melbourne CBD - East,206041503,2007,6875
20,Melbourne CBD - North,206041504,2007,4349
21,Melbourne CBD - West,206041505,2007,5001
22,Melbourne CBD - East,206041503,2008,7182
23,Melbourne CBD - North,206041504,2008,4738
24,Melbourne CBD - West,206041505,2008,5405
25,Melbourne CBD - East,206041503,2009,7469
26,Melbourne CBD - North,206041504,2009,5286
27,Melbourne CBD - West,206041505,2009,5996
28,Melbourne CBD - East,206041503,2010,7716
29,Melbourne CBD - North,206041504,2010,5900
30,Melbourne CBD - West,206041505,2010,6766
31,Melbourne CBD - East,206041503,2011,7939
32,Melbourne CBD - North,206041504,2011,6401
33,Melbourne CBD - West,206041505,2011,7475
34,Melbourne CBD - East,206041503,2012,8374
35,Melbourne CBD - North,206041504,2012,7880
36,Melbourne CBD - West,206041505,2012,8628
37,Melbourne CBD - East,206041503,2013,9646
38,Melbourne CBD - North,206041504,2013,9591
39,Melbourne CBD - West,206041505,2013,10413
40,Melbourne CBD - East,206041503,2014,10455
41,Melbourne CBD - North,206041504,2014,11297
42,Melbourne CBD - West,206041505,2014,11874
43,Melbourne CBD - East,206041503,2015,11049
44,Melbourne CBD - North,206041504,2015,12895
45,Melbourne CBD - West,206041505,2015,13218
46,Melbourne CBD - East,206041503,2016,11633
47,Melbourne CBD - North,206041504,2016,14230
48,Melbourne CBD - West,206041505,2016,14318
49,Melbourne CBD - East,206041503,2017,11893
50,Melbourne CBD - North,206041504,2017,15810
51,Melbourne CBD - West,206041505,2017,16896
52,Melbourne CBD - East,206041503,2018,12346
53,Melbourne CBD - North,206041504,2018,17150
54,Melbourne CBD - West,206041505,2018,18119
55,Melbourne CBD - East,206041503,2019,12569
56,Melbourne CBD - North,206041504,2019,18394
57,Melbourne CBD - West,206041505,2019,18780
58,Melbourne CBD - East,206041503,2020,12398
59,Melbourne CBD - North,206041504,2020,19192
60,Melbourne CBD - West,206041505,2020,18835
61,Melbourne CBD - East,206041503,2021,10205
62,Melbourne CBD - North,206041504,2021,17439
63,Melbourne CBD - West,206041505,2021,16179
64,Melbourne CBD - Total,,2001,7644
65,Melbourne CBD - Total,,2002,9592
66,Melbourne CBD - Total,,2003,11400
67,Melbourne CBD - Total,,2004,12727
68,Melbourne CBD - Total,,2005,14292
69,Melbourne CBD - Total,,2006,15249
70,Melbourne CBD - Total,,2007,16225
71,Melbourne CBD - Total,,2008,17325
72,Melbourne CBD - Total,,2009,18751
73,Melbourne CBD - Total,,2010,20382
74,Melbourne CBD - Total,,2011,21815
75,Melbourne CBD - Total,,2012,24882
76,Melbourne CBD - Total,,2013,29650
77,Melbourne CBD - Total,,2014,33626
78,Melbourne CBD - Total,,2015,37162
79,Melbourne CBD - Total,,2016,40181
80,Melbourne CBD - Total,,2017,44599
81,Melbourne CBD - Total,,2018,47615
82,Melbourne CBD - Total,,2019,49743
83,Melbourne CBD - Total,,2020,50425
84,Melbourne CBD - Total,,2021,43823
